,Date,AvgTemp,AverageDew,Humidity,Wind,Pressure,Solar(PV)
0,2022-04-01,87.9,31.3,13.4,5.7,29.2,19.010857142857144
2,2022-04-03,90.2,34.0,14.2,6.6,29.1,16.885714285714286
3,2022-04-04,93.2,31.4,11.8,8.8,29.1,19.627428571428567
4,2022-04-05,92.5,24.9,9.4,8.0,29.1,18.929428571428577
5,2022-04-06,91.2,18.9,7.8,9.4,29.2,18.933999999999997
6,2022-04-07,94.0,26.3,9.4,11.0,29.2,17.43514285714286
7,2022-04-08,92.3,24.9,10.0,6.5,29.1,16.71771428571429
8,2022-04-09,92.5,30.4,11.9,8.9,29.1,17.14628571428571
9,2022-04-10,90.6,32.0,13.3,8.5,29.1,15.938857142857147
10,2022-04-11,89.9,30.4,12.3,7.9,29.1,16.939142857142862
11,2022-04-12,84.8,29.2,14.0,12.2,29.1,15.091428571428569
12,2022-04-13,78.7,28.5,17.8,8.9,29.1,19.335714285714285
13,2022-04-14,78.9,24.9,16.4,8.1,29.1,19.553714285714285
14,2022-04-15,83.9,18.8,10.3,7.8,29.1,23.59771428571429
15,2022-04-16,86.9,23.5,10.6,6.3,29.1,21.012857142857133
16,2022-04-17,91.6,26.6,10.0,6.8,29.1,22.77028571428572
17,2022-04-18,92.0,26.7,10.4,5.0,29.0,22.112000000000005
18,2022-04-19,85.2,37.4,19.0,12.3,29.1,20.432
19,2022-04-20,80.6,29.5,16.6,12.7,29.2,16.17942857142857
20,2022-04-21,77.7,26.7,17.5,8.5,29.1,16.29342857142857
21,2022-04-22,84.0,24.8,12.2,6.9,29.1,18.654285714285717
22,2022-04-23,82.6,17.4,10.4,9.1,29.0,17.751142857142852
23,2022-04-24,84.2,21.4,10.1,4.6,29.0,20.663142857142855
24,2022-04-25,88.9,25.6,10.8,5.7,29.0,18.076857142857136
25,2022-04-26,89.1,27.4,11.3,7.0,29.0,19.68
26,2022-04-27,89.0,34.3,17.4,7.7,29.0,17.420571428571424
27,2022-04-28,90.3,31.8,13.3,5.8,29.0,20.026857142857143
28,2022-04-29,92.1,28.6,10.8,5.2,29.1,18.788000000000004
29,2022-04-01,87.9,31.3,13.4,5.7,29.2,19.010857142857144
31,2022-04-03,90.2,34.0,14.2,6.6,29.1,16.885714285714286
32,2022-04-04,93.2,31.4,11.8,8.8,29.1,19.627428571428567
33,2022-04-05,92.5,24.9,9.4,8.0,29.1,18.929428571428577
34,2022-04-06,91.2,18.9,7.8,9.4,29.2,18.933999999999997
35,2022-04-07,94.0,26.3,9.4,11.0,29.2,17.43514285714286
36,2022-04-08,92.3,24.9,10.0,6.5,29.1,16.71771428571429
37,2022-04-09,92.5,30.4,11.9,8.9,29.1,17.14628571428571
